rowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
123,19171335,Anderson,714,Spain,Female,49,6,85321.91,2,1,0,138873.87,0
124,63509844,Miller,698,Netherlands,Female,42,1,172690.86,3,0,0,128949.05,0
125,98391660,Martin,473,Germany,Female,47,3,30787.97,1,0,1,115984.18,0
126,93579131,Wilson,800,France,Female,30,8,152664.16,1,1,0,74067.47,0
127,17714944,Jones,522,Netherlands,Male,27,10,216839.42,4,0,1,144456.4,1
128,50970835,Taylor,521,Spain,Female,19,0,157981.27,4,1,1,72010.81,1
129,46583501,Martinez,735,Germany,Male,56,4,185030.56,1,1,1,143621.9,0
130,49479961,Johnson,718,Italy,Female,67,1,124472.17,1,1,1,26167.8,0
131,42926795,Moore,725,Netherlands,Female,43,10,90416.48,2,0,0,111378.3,1
132,64906148,Hernandez,636,Italy,Male,60,7,131749.46,1,1,1,34623.54,0
133,85725150,Johnson,442,Germany,Female,29,9,204277.24,3,0,0,131877.26,1
134,36873983,Wilson,536,Netherlands,Male,20,10,136022.02,3,1,0,86345.36,1
135,30940266,Miller,536,Germany,Male,24,0,114053.12,2,1,0,75528.58,0
136,38987024,Taylor,656,France,Male,45,0,175030.81,2,0,1,35272.98,1
137,94229936,Martin,656,Italy,Male,21,10,99298.06,4,0,1,118406.08,0
138,63111381,Miller,507,Netherlands,Female,46,10,168045.22,3,1,1,130454.26,0
139,57588099,Wilson,815,Netherlands,Male,20,10,79643.15,2,0,1,56272.35,0
140,33854479,Johnson,747,Netherlands,Female,35,0,140865.79,1,1,0,114198.96,0
141,64159885,Taylor,831,Netherlands,Male,41,7,87631.13,3,1,0,75140.9,0
142,86736492,Anderson,651,Netherlands,Female,24,0,141457.04,1,1,1,109561.91,1
143,66818664,Johnson,791,Spain,Female,48,8,243376.29,1,0,0,84903.26,0
144,45471095,Martinez,535,Italy,Male,39,9,94780.35,2,0,1,25123.29,0
145,82395644,Moore,310,Spain,Female,67,0,46596.51,4,0,0,129789.29,1
146,53562588,Williams,329,Netherlands,Male,34,1,88195.22,2,0,0,26103.84,0
147,95369824,Smith,401,Germany,Male,37,0,13591.12,1,0,0,93053.14,1
148,38133950,Taylor,323,Germany,Female,49,4,120639.35,1,0,1,110091.44,0
149,55441061,Hernandez,500,France,Female,46,4,826.13,4,1,0,81990.77,0
150,81156319,Hernandez,773,Spain,Female,54,7,34981.42,4,0,0,131314.03,0
151,65166373,Anderson,608,Netherlands,Female,24,5,113360.18,1,1,0,139472.53,1
152,43444719,Taylor,693,Italy,Male,41,2,46244.92,4,0,0,23700.39,0
153,18080899,Johnson,761,France,Male,23,0,70596.75,3,0,0,34240.82,1
154,50824414,Martinez,758,Germany,Female,29,4,137838.99,1,1,1,44998.66,0
155,28979012,Davis,823,Spain,Male,37,9,98766.86,2,1,0,25996.24,1
156,10962945,Davis,495,France,Male,22,7,29748.64,1,0,1,23342.62,0
157,70717350,Garcia,550,Spain,Female,55,9,75286.68,4,1,1,55774.62,0
158,42558013,Hernandez,601,Spain,Female,43,2,151325.57,3,0,0,116561.33,0
159,67146334,Jones,841,France,Female,58,2,210291.12,4,0,1,74542.05,0
160,78125579,Brown,578,France,Female,68,2,207412.8,4,1,1,20268.56,0
161,94805235,Anderson,671,Germany,Male,44,9,29693.59,1,0,0,139729.66,0
162,13897279,Miller,416,Germany,Male,53,9,40853.73,1,0,1,50994.39,0
163,25685555,Johnson,548,Germany,Male,40,7,62962.56,2,1,1,118260.87,1
164,85214754,Taylor,487,Spain,Female,54,10,234477.34,2,0,1,30123.26,0
165,35658532,Johnson,477,Germany,Male,63,4,233843.88,1,0,0,103525.22,0
166,28322519,Martinez,778,Netherlands,Male,48,10,171279.19,1,1,0,77891.46,0
167,54102875,Brown,457,Spain,Female,29,5,70796.37,4,0,1,56298.23,0
168,14383421,Miller,644,Germany,Female,26,10,200360.34,4,1,1,97078.58,0
169,77601184,Jones,737,Italy,Female,41,8,135671.31,1,1,1,68183.36,0
170,68801708,Hernandez,359,Italy,Female,68,10,40407.26,4,0,0,22720.88,0
171,24480598,Wilson,414,France,Female,69,5,125939.43,3,0,1,114439.52,0
172,47631091,Williams,417,Italy,Male,21,10,9087.78,3,0,0,87298.0,0
173,57290846,Hernandez,400,Spain,Female,49,1,191091.19,4,1,0,138182.54,0
174,96151008,Moore,519,Spain,Male,57,10,97963.11,2,0,0,93034.82,0
175,47810672,Taylor,488,Germany,Male,67,8,133238.2,2,1,0,86293.2,0
176,69910224,Davis,551,Spain,Female,33,8,77108.48,4,0,0,131619.56,0
177,82530454,Johnson,492,Netherlands,Male,36,1,176858.95,4,0,1,135850.42,1
178,99397111,Wilson,822,Netherlands,Female,43,3,90970.26,2,1,1,57007.25,0
179,49712665,Brown,717,Germany,Male,42,9,109181.33,3,0,1,135077.64,0
180,99936410,Wilson,842,Germany,Male,60,2,19396.0,2,0,1,81784.29,0
181,49350102,Martin,408,Italy,Male,23,8,26650.99,1,1,1,142083.36,1
182,46725596,Wilson,793,Germany,Male,65,5,201684.84,2,1,1,108025.17,0
183,56117921,Williams,753,Netherlands,Male,20,2,120043.44,3,1,1,72174.43,0
184,87748134,Anderson,732,Germany,Male,66,2,31408.91,3,1,1,32685.18,0
185,89187644,Wilson,796,Germany,Female,59,7,25246.58,1,1,0,35599.39,1
186,35272692,Martin,434,Germany,Male,36,3,9001.5,4,1,1,27499.39,0
187,69918071,Johnson,569,Netherlands,Female,32,8,123432.59,2,1,0,39816.48,1
188,78978591,Martinez,695,Germany,Female,22,9,153385.63,4,0,1,63249.23,0
189,21335445,Davis,625,Germany,Female,33,3,154188.13,2,0,1,31261.71,0
190,84437853,Williams,613,Spain,Male,39,1,135458.84,3,0,1,82271.49,0
191,21438861,Martinez,741,Germany,Female,65,10,176512.69,4,1,1,48734.16,0
192,14801539,Davis,366,Italy,Female,44,8,83100.46,3,1,1,118133.96,1
193,73137370,Davis,835,France,Male,43,7,185584.01,2,1,1,102319.29,0
194,29836115,Martinez,783,Spain,Male,32,6,9089.59,2,0,1,62601.94,0
195,38932339,Johnson,327,Germany,Female,49,8,139466.0,3,1,1,96611.38,0
196,62941200,Brown,446,Germany,Male,49,4,43790.17,4,1,0,42702.74,0
197,96189735,Anderson,532,Spain,Male,67,9,73962.72,1,0,1,113876.49,0
198,47769995,Smith,319,Italy,Female,18,8,32394.37,4,0,0,70275.32,0
199,69616868,Moore,314,Netherlands,Female,44,7,65402.8,4,1,1,75066.68,0
200,89040027,Hernandez,622,France,Female,32,10,204838.43,2,0,0,80656.87,0
201,24672823,Jones,467,France,Male,41,8,202619.34,2,0,1,111463.55,1
202,82773394,Martinez,640,Spain,Male,47,3,146712.09,2,1,0,96194.38,0
203,36028282,Johnson,493,Netherlands,Female,29,6,119774.8,3,1,0,31628.09,0
204,59433708,Jones,488,Spain,Female,67,1,57328.0,2,1,0,140284.86,0
205,60508348,Anderson,361,Spain,Male,22,0,81191.24,1,1,0,88626.88,0
206,27911444,Miller,754,Spain,Female,55,1,153299.53,2,1,0,127757.41,0
207,89517419,Taylor,601,Spain,Female,63,10,180851.56,3,0,0,123785.16,0
208,16033185,Martinez,512,Spain,Female,27,5,28303.11,3,1,0,84588.11,0
209,30346376,Hernandez,708,Netherlands,Female,19,8,204753.32,1,0,1,97316.99,0
210,68604619,Wilson,587,Italy,Female,61,8,188080.21,2,1,0,107479.79,0
211,53517376,Smith,460,Italy,Female,22,6,170709.7,4,1,1,46614.83,0
212,92234197,Jones,819,France,Female,60,6,188879.0,3,1,0,43457.04,0
213,57252104,Martinez,340,Italy,Female,34,3,230514.84,2,0,0,147108.45,0
214,88376126,Brown,543,Netherlands,Female,37,8,32419.19,2,1,0,99572.87,0
215,33155244,Hernandez,556,France,Female,21,5,54989.72,2,1,1,146910.35,0
216,48255387,Miller,614,Italy,Female,60,10,221193.86,1,1,1,36208.47,0
217,56393116,Garcia,336,Germany,Female,32,8,89072.82,3,0,1,47043.93,0
218,74564840,Williams,481,Spain,Male,44,6,188665.9,4,1,0,60088.4,1
219,77274688,Anderson,433,Italy,Male,59,2,178347.98,2,1,1,28563.48,0
220,39667468,Garcia,552,France,Male,44,5,174765.66,2,1,0,61703.92,0
221,35396678,Martin,655,Spain,Female,61,5,102432.96,1,0,0,81832.44,0
222,23374186,Brown,758,Spain,Male,38,9,93515.99,4,1,1,128290.57,0
223,13732842,Jones,617,Spain,Male,22,5,106212.41,2,0,1,83158.39,0
224,83194197,Taylor,405,Spain,Female,53,9,67257.45,3,0,0,53002.1,0
225,91496029,Miller,513,Germany,Female,21,3,223142.03,3,0,1,61211.63,1
226,64846794,Brown,527,Germany,Male,48,1,227418.43,3,0,1,142003.44,0
227,45791972,Johnson,750,Spain,Female,68,1,82862.0,4,0,1,23108.87,0
228,90174244,Wilson,410,Germany,Female,27,8,221818.23,4,1,0,90830.05,0
229,11750415,Johnson,435,France,Female,20,4,154689.07,1,1,1,88576.66,1
230,41697483,Brown,340,Germany,Male,47,2,115734.33,4,1,1,45400.93,1
231,36075326,Davis,574,France,Female,45,0,157126.73,1,0,0,88978.33,0
232,19269495,Taylor,480,Germany,Female,50,3,53585.3,4,1,1,78282.32,0
233,11344977,Williams,475,Netherlands,Male,65,2,2468.79,3,1,0,84683.74,1
234,12584264,Williams,788,Germany,Male,31,9,58641.97,2,1,0,85222.26,0
235,71983777,Hernandez,481,France,Male,67,9,111076.37,4,1,0,30702.72,0
236,47731468,Hernandez,328,Spain,Female,18,9,70721.21,2,1,0,115994.72,0
237,73791071,Martin,658,France,Female,42,2,161414.28,1,0,1,85618.77,0
238,55243431,Garcia,558,Netherlands,Male,63,6,96929.65,4,1,0,135918.64,0
239,86919911,Johnson,670,Spain,Female,44,8,78223.16,1,0,1,91097.18,0
240,45926161,Martinez,538,Italy,Male,50,6,186353.55,2,1,1,64240.86,0
241,53826713,Martin,705,Germany,Female,23,6,160724.98,1,0,0,110203.32,0
242,38454961,Johnson,456,France,Male,28,6,243404.7,2,1,1,148377.71,0
243,51164220,Garcia,541,France,Male,33,7,184680.28,2,1,1,26940.58,0
244,56875991,Williams,358,Netherlands,Female,61,8,147748.06,3,1,1,134395.62,0
245,25701070,Moore,539,Spain,Female,47,9,151839.4,4,0,0,41485.48,1
246,16234249,Martinez,497,Italy,Male,33,8,187680.11,3,1,0,101934.18,0
247,41356902,Smith,550,Italy,Female,54,8,85958.19,2,1,0,22828.97,0
248,39029960,Garcia,301,Germany,Female,38,5,139519.0,2,1,1,139940.21,0
249,57852835,Hernandez,550,Italy,Male,32,3,166529.2,3,1,1,118762.29,0
250,94490857,Davis,632,Germany,Male,41,4,76737.44,3,1,1,83258.73,1
251,55709762,Williams,519,Netherlands,Female,23,5,188477.87,4,0,0,25825.72,0
252,37461477,Johnson,392,Spain,Male,18,2,46233.26,2,1,1,133539.51,0
253,37922488,Wilson,543,Germany,Female,63,9,189498.58,2,0,1,113782.39,0
254,73898928,Miller,654,Netherlands,Male,48,4,100312.96,3,0,1,43275.55,1
255,21334264,Davis,409,Germany,Female,51,9,191112.63,4,1,1,145164.0,0
256,38045112,Martinez,783,Spain,Female,59,4,156814.96,3,0,0,91528.88,0
257,55110702,Davis,805,Netherlands,Male,42,0,188399.08,4,0,0,50170.9,1
258,91651483,Anderson,398,France,Male,67,9,172214.42,3,0,0,101459.52,1
259,64258882,Moore,731,Germany,Male,55,10,71627.35,4,1,1,97901.25,0
260,20284752,Davis,807,Italy,Female,26,8,111103.93,1,1,1,98769.88,1
261,96269410,Garcia,815,Netherlands,Male,30,3,207050.79,2,0,1,107542.21,0
262,57303057,Moore,414,Germany,Female,29,7,85060.29,1,0,0,25473.01,1
263,45147288,Miller,783,Spain,Male,68,7,150308.57,4,0,1,33543.71,0
264,86730289,Brown,424,France,Female,44,8,39234.68,2,0,1,98733.77,0
265,33402077,Brown,775,Spain,Male,64,3,186351.33,3,0,0,78248.86,0
266,63656556,Davis,533,Germany,Female,68,2,14476.97,4,1,1,21899.78,0
267,15217037,Brown,562,Germany,Female,36,1,40211.93,4,1,0,95769.5,0
268,22226351,Davis,687,France,Male,44,5,67433.21,4,1,0,62772.38,0
269,41092920,Jones,673,Spain,Female,68,5,94272.98,1,1,0,25829.78,0
270,40422384,Anderson,582,Netherlands,Male,34,7,107568.71,4,0,1,64428.23,0
271,14770117,Martin,575,Spain,Female,48,2,171084.79,4,0,0,56696.31,0
272,50074895,Johnson,633,Spain,Female,64,1,135060.68,1,0,1,40277.41,0
273,39635825,Martinez,543,Spain,Male,19,8,209794.11,3,0,1,26520.6,0
274,72466751,Williams,312,Germany,Male,60,9,102168.45,3,0,1,132357.7,1
275,63206229,Martin,636,Netherlands,Male,37,7,156043.41,2,1,0,65856.48,1
276,50083600,Moore,802,Germany,Male,63,5,16607.92,1,0,0,60324.01,0
277,39475199,Hernandez,545,Italy,Female,65,6,206728.41,2,1,1,44526.78,0
278,90706806,Smith,623,Germany,Male,40,9,210351.79,2,1,1,126493.28,0
279,31148788,Williams,358,Spain,Male,27,0,221930.43,4,1,0,82837.29,0
280,39302569,Taylor,837,Italy,Female,51,10,85870.28,4,1,1,119389.51,0
281,71154499,Martinez,755,Germany,Female,42,9,31665.48,3,1,0,53920.16,0
282,44664908,Moore,376,Germany,Male,34,10,159856.02,1,1,0,50315.83,1
283,63115640,Brown,795,Netherlands,Male,55,8,146338.93,4,1,0,60644.14,0
284,80870805,Davis,433,France,Male,62,9,59157.99,2,1,0,136405.12,0
285,62099911,Martinez,325,Netherlands,Male,53,5,230181.5,3,0,1,54037.13,0
286,69516106,Taylor,538,Spain,Male,26,10,162492.72,4,1,0,65628.82,1
287,51415044,Williams,377,Germany,Male,44,6,41063.46,4,1,0,55416.05,0
288,33106298,Martin,365,Italy,Female,53,1,208929.19,4,0,1,40685.23,0
289,69453565,Wilson,331,Italy,Male,59,7,64079.28,4,1,0,100646.27,0
290,69197202,Garcia,375,France,Female,50,8,225375.81,1,0,1,120931.09,1
291,14792105,Miller,551,Spain,Female,42,1,220458.47,4,1,0,134429.68,0
292,79408728,Anderson,788,Italy,Male,47,3,45641.91,4,0,0,82152.13,0
293,56515725,Moore,300,Italy,Male,49,6,101599.31,2,0,0,73389.01,0
294,46157430,Davis,339,Germany,Female,57,1,229101.59,1,1,0,52961.62,1
295,92746503,Hernandez,713,Spain,Female,43,2,101605.02,4,0,1,49062.01,0
296,46719461,Jones,720,Netherlands,Male,58,7,93857.47,4,1,0,30049.88,0
297,73885527,Anderson,756,Italy,Male,68,5,246790.15,1,0,1,65875.16,0
298,33614873,Davis,675,Netherlands,Male,52,4,195094.34,4,1,1,124747.42,1
299,14036894,Martin,625,Italy,Female,37,3,210681.09,1,0,1,76420.55,0
300,26512001,Williams,632,Netherlands,Male,64,1,51602.12,3,1,1,70948.11,1
301,19295017,Miller,662,Italy,Male,51,9,189116.51,4,1,1,115822.27,0
302,75360792,Taylor,310,Germany,Female,65,4,187226.19,2,0,1,36991.08,1
303,69894459,Hernandez,792,Italy,Female,66,1,25056.74,2,1,0,42370.3,1
304,11233152,Wilson,666,Spain,Female,37,5,36693.13,3,1,1,42994.79,1
305,85476746,Taylor,720,Germany,Female,42,2,133081.69,4,0,0,34837.39,0
306,36241845,Anderson,811,Germany,Male,24,10,70018.38,4,1,1,131652.23,0
307,53527055,Miller,747,Germany,Male,49,9,57249.3,3,0,0,65045.71,0
308,95620582,Moore,314,Italy,Male,43,10,137740.57,3,0,1,36038.55,0
309,80457245,Brown,814,Spain,Female,23,4,140001.08,3,0,1,35116.91,0
310,26031757,Garcia,403,France,Female,60,9,125350.81,3,1,0,74434.67,0
311,40700928,Martin,670,Germany,Female,42,0,9096.41,1,1,1,68484.64,1
312,70848336,Brown,507,Italy,Female,49,0,14299.42,4,1,1,125922.34,1
313,50504423,Martin,522,Netherlands,Female,50,9,31975.83,4,0,1,91917.06,0
314,17192670,Wilson,361,Netherlands,Male,22,7,88201.34,1,1,1,63007.46,0
315,79229862,Jones,492,Spain,Female,25,7,209912.44,1,0,0,96793.09,0
316,26761240,Hernandez,417,Spain,Male,40,1,148702.8,3,0,1,51298.82,1
317,51150803,Taylor,561,Netherlands,Male,31,7,243781.78,3,0,0,40581.88,0
318,65254113,Jones,792,Netherlands,Female,64,7,101870.86,4,1,0,52557.16,1
319,71169543,Martinez,368,Netherlands,Female,50,0,238079.11,3,1,0,32849.22,0
320,37789147,Miller,667,Italy,Female,37,2,99464.94,2,1,0,100697.5,0
321,69461710,Hernandez,799,Spain,Female,55,4,142089.04,3,1,0,109722.42,1
322,89541789,Wilson,844,Germany,Male,27,9,93980.27,2,0,0,135205.43,0
323,43999996,Wilson,466,Netherlands,Female,56,5,213723.64,4,1,0,78017.6,0
324,30027430,Garcia,573,Germany,Male,46,2,204082.98,2,0,0,100932.37,0
325,25149835,Martin,722,Italy,Female,54,1,177529.82,4,1,1,61341.78,0
326,51675748,Jones,351,Spain,Male,27,6,191385.99,2,1,1,32566.37,0
327,65914332,Williams,849,Netherlands,Male,61,10,141240.28,1,0,0,44358.35,1
328,74773521,Martinez,590,Spain,Female,66,1,6391.33,3,1,1,127359.51,0
329,26790509,Wilson,723,France,Female,56,4,6299.36,1,0,0,24784.36,0
330,61536593,Taylor,487,Spain,Female,32,2,134117.58,1,0,1,57856.64,0
331,50984384,Smith,805,Italy,Female,44,8,51731.66,2,1,1,97204.49,1
332,69731415,Williams,317,Italy,Female,29,3,179772.34,4,1,0,51037.83,0
